"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""tokenComparer""|""relative:///src/CommandLine/Core/TokenPartitioner.cs:18:38:18:50""]] is useless, since its value is never read.","/src/CommandLine/Core/TokenPartitioner.cs","18","38","18","86"
"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""isFsOption""|""relative:///src/CommandLine/Core/TypeConverter.cs:78:25:78:34""]] is useless, since its value is never read.","/src/CommandLine/Core/TypeConverter.cs","78","25","78","88"
"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""width""|""relative:///src/CommandLine/ParserSettings.cs:56:17:56:21""]] is useless, since its value is never read.","/src/CommandLine/ParserSettings.cs","56","17","56","25"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method TokenizeLongName is too closely tied to [[""String""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/src/CommandLine/Core/GetoptTokenizer.cs","188","43","188","58"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method TokenizeShortName is too closely tied to [[""String""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/src/CommandLine/Core/GetoptTokenizer.cs","139","43","139","59"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method Build<> is too closely tied to [[""Enumerable""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/src/CommandLine/Core/InstanceBuilder.cs","40","39","40","46"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method BuildImmutable<> is too closely tied to [[""Enumerable""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 6 dependencies to it, but only 0 dependencies to its own type.","/src/CommandLine/Core/InstanceBuilder.cs","186","26","186","42"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method FromProperty is too closely tied to [[""Enumerable""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/src/CommandLine/Core/Specification.cs","112","37","112","48"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method Partition is too closely tied to [[""Tuple<,,,>""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 4 dependencies to it, but only 1 dependencies to its own type.","/src/CommandLine/Core/TokenPartitioner.cs","14","116","14","124"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method Choose is too closely tied to [[""Enumerable""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 4 dependencies to it, but only 2 dependencies to its own type.","/src/CommandLine/Core/InstanceChooser.cs","39","44","39","49"
