"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""optionB""|""relative:///test/CommandLineUtils.Tests/CommandLineApplicationTests.cs:610:17:610:23""]] is useless, since its value is never read.","/test/CommandLineUtils.Tests/CommandLineApplicationTests.cs","610","17","610","95"
"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""subCommand""|""relative:///test/CommandLineUtils.Tests/CommandLineApplicationTests.cs:903:17:903:26""]] is useless, since its value is never read.","/test/CommandLineUtils.Tests/CommandLineApplicationTests.cs","903","17","908","14"
"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""subCommand""|""relative:///test/CommandLineUtils.Tests/CommandLineApplicationTests.cs:939:17:939:26""]] is useless, since its value is never read.","/test/CommandLineUtils.Tests/CommandLineApplicationTests.cs","939","17","939","63"
"Useless assignment to local variable","An assignment to a local variable that is not used later on, or whose value is always overwritten, has no effect.","warning","This assignment to [[""arg""|""relative:///test/CommandLineUtils.Tests/ValidationTests.cs:40:17:40:19""]] is useless, since its value is never read.","/test/CommandLineUtils.Tests/ValidationTests.cs","40","17","40","65"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method AllObsoleteMembersAreEditorBrowsableNever is too closely tied to [[""Type""|""file:///usr/share/dotnet/packs/Microsoft.NETCore.App.Ref/6.0.0/ref/net6.0/System.Runtime.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/test/CommandLineUtils.Tests/ApiTests.cs","16","21","16","61"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method DefaultValueReturnedIfUnset is too closely tied to [[""CommandArgument""|""file:///home/badgy/sw/s02_e04/test_repos/CommandLineUtils/.build/bin/McMaster.Extensions.CommandLineUtils/Debug/netstandard2.1/McMaster.Extensions.CommandLineUtils.dll:0:0:0:0""]]: 5 dependencies to it, but only 0 dependencies to its own type.","/test/CommandLineUtils.Tests/CommandArgumentTests.cs","32","21","32","47"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method DefaultValueOfTReturnedIfUnset is too closely tied to [[""CommandArgument<>""|""file:///home/badgy/sw/s02_e04/test_repos/CommandLineUtils/.build/bin/McMaster.Extensions.CommandLineUtils/Debug/netstandard2.1/McMaster.Extensions.CommandLineUtils.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/test/CommandLineUtils.Tests/CommandArgumentTests.cs","45","21","45","50"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method DefaultOverriddenBySettingValue is too closely tied to [[""CommandArgument""|""file:///home/badgy/sw/s02_e04/test_repos/CommandLineUtils/.build/bin/McMaster.Extensions.CommandLineUtils/Debug/netstandard2.1/McMaster.Extensions.CommandLineUtils.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/test/CommandLineUtils.Tests/CommandArgumentTests.cs","60","21","60","51"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method DefaultOfTOverriddenBySettingValue is too closely tied to [[""CommandArgument""|""file:///home/badgy/sw/s02_e04/test_repos/CommandLineUtils/.build/bin/McMaster.Extensions.CommandLineUtils/Debug/netstandard2.1/McMaster.Extensions.CommandLineUtils.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.
Method DefaultOfTOverriddenBySettingValue is too closely tied to [[""CommandArgument<>""|""file:///home/badgy/sw/s02_e04/test_repos/CommandLineUtils/.build/bin/McMaster.Extensions.CommandLineUtils/Debug/netstandard2.1/McMaster.Extensions.CommandLineUtils.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/test/CommandLineUtils.Tests/CommandArgumentTests.cs","73","21","73","54"
