"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method MapMetadata is too closely tied to [[""DocumentMetadata""|""relative:///QuestPDF/Drawing/DocumentMetadata.cs:5:18:5:33""]]: 11 dependencies to it, but only 0 dependencies to its own type.","/QuestPDF/Drawing/PdfCanvas.cs","29","46","29","56"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method RegisterMeasure is too closely tied to [[""DebugStackItem""|""relative:///QuestPDF/Drawing/Proxy/DebugStackItem.cs:6:18:6:31""]]: 4 dependencies to it, but only 2 dependencies to its own type.","/QuestPDF/Drawing/Proxy/DebuggingState.cs","28","21","28","35"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method PlanLayout is too closely tied to [[""ColumnItemRenderingCommand""|""relative:///QuestPDF/Elements/Column.cs:14:20:14:45""]]: 5 dependencies to it, but only 2 dependencies to its own type.","/QuestPDF/Elements/Column.cs","87","57","87","66"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method GetContent is too closely tied to [[""DynamicContext""|""relative:///QuestPDF/Elements/Dynamic.cs:72:18:72:31""]]: 7 dependencies to it, but only 2 dependencies to its own type.","/QuestPDF/Elements/Dynamic.cs","48","47","48","56"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method PlanLayout is too closely tied to [[""RowItemRenderingCommand""|""relative:///QuestPDF/Elements/Row.cs:26:20:26:42""]]: 5 dependencies to it, but only 2 dependencies to its own type.","/QuestPDF/Elements/Row.cs","124","54","124","63"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method Measure is too closely tied to [[""TextMeasurementResult""|""relative:///QuestPDF/Elements/Text/Calculation/TextMeasurementResult.cs:6:20:6:40""]]: 8 dependencies to it, but only 1 dependencies to its own type.","/QuestPDF/Elements/Text/Items/TextBlockElement.cs","12","39","12","45"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method Draw is too closely tied to [[""TextDrawingRequest""|""relative:///QuestPDF/Elements/Text/Calculation/TextDrawingRequest.cs:6:20:6:37""]]: 5 dependencies to it, but only 2 dependencies to its own type.
Method Draw is too closely tied to [[""TextStyle""|""relative:///QuestPDF/Infrastructure/TextStyle.cs:6:18:6:26""]]: 4 dependencies to it, but only 2 dependencies to its own type.","/QuestPDF/Elements/Text/Items/TextBlockSpan.cs","137","29","137","32"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method Color is too closely tied to [[""Colors""|""relative:///QuestPDF/Helpers/Colors.cs:3:18:3:23""]]: 19 dependencies to it, but only 1 dependencies to its own type.","/QuestPDF/Helpers/Placeholders.cs","185","30","185","34"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method CheckIfStreamIsCompatible implements the same conditional statement in multiple locations within the same scope.","/QuestPDF/Drawing/DocumentGenerator.cs","37","9","43","9"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method RenderPass<> implements the same conditional statement in multiple locations within the same scope.","/QuestPDF/Drawing/DocumentGenerator.cs","92","13","127","13"
